,Street Type,Length
0,Road,2010232.8796496626
1,Street,616248.3420202638
2,County Road,578107.5133791273
3,Avenue,460001.2559250934
4,Drive,378228.51903438533
5,State Highway,251180.06907247778
6,State Route,215401.15945061343
7,U.S. Highway,214117.2883648768
8,Lane,210769.29587195476
9,Highway,129483.11904954266
10,Interstate,101604.76705570516
11,State Road,90274.0304126069
12,County Highway,89969.98209206043
13,Trail,66765.56758839474
14,National Forest System Road,56646.3804299331
15,Other,762253.0187745363
